/home/lsc/serial_bfs/log/con/runcon72627, solver: z3, result: unsat, time:0.25871849060058594
/home/lsc/serial_bfs/log/con/runcon71302, solver: z3, result: unsat, time:0.17009425163269043
/home/lsc/serial_bfs/log/con/runcon76316, solver: z3, result: unsat, time:0.24988055229187012
/home/lsc/serial_bfs/log/con/runcon72605, solver: z3, result: unsat, time:0.18298602104187012
/home/lsc/serial_bfs/log/con/runcon69572, solver: z3, result: unsat, time:0.06037425994873047
/home/lsc/serial_bfs/log/con/runcon76300, solver: z3, result: unsat, time:0.2527425289154053
/home/lsc/serial_bfs/log/con/runcon76138, solver: z3, result: unsat, time:0.23238635063171387
/home/lsc/serial_bfs/log/con/runcon76302, solver: z3, result: unsat, time:0.25989484786987305
/home/lsc/serial_bfs/log/con/runcon76132, solver: z3, result: unsat, time:0.23612499237060547
/home/lsc/serial_bfs/log/con/nice32784, solver: z3, result: unsat, time:0.10656547546386719
/home/lsc/serial_bfs/log/con/dir492451, solver: z3, result: unsat, time:0.42404961585998535
/home/lsc/serial_bfs/log/con/dir489781, solver: z3, result: unsat, time:0.34626317024230957
/home/lsc/serial_bfs/log/con/dir490732, solver: z3, result: unsat, time:0.4086792469024658
/home/lsc/serial_bfs/log/con/dir488929, solver: z3, result: unsat, time:0.32051920890808105
/home/lsc/serial_bfs/log/con/fold177936, solver: z3, result: unsat, time:59.0669002532959
/home/lsc/serial_bfs/log/con/fold479132, solver: z3, result: unsat, time:25.49191403388977
/home/lsc/serial_bfs/log/con/fold206831, solver: z3, result: unsat, time:0.23700284957885742
/home/lsc/serial_bfs/log/con/who250610, solver: z3, result: unsat, time:138.0859785079956
/home/lsc/serial_bfs/log/con/who254609, solver: z3, result: unsat, time:0.0788724422454834
/home/lsc/serial_bfs/log/con/tr139151, solver: z3, result: unknown, time:300.0181095600128
/home/lsc/serial_bfs/log/con/tsort28626, solver: z3, result: unknown, time:300.0240271091461
/home/lsc/serial_bfs/log/con/tsort29512, solver: z3, result: unsat, time:0.09833383560180664
/home/lsc/serial_bfs/log/con/tsort28989, solver: z3, result: unsat, time:0.0767068862915039
/home/lsc/serial_bfs/log/con/tsort29483, solver: z3, result: unsat, time:0.07722306251525879
/home/lsc/serial_bfs/log/con/tsort24982, solver: z3, result: unsat, time:0.06902480125427246
/home/lsc/serial_bfs/log/con/tsort29011, solver: z3, result: unsat, time:0.07476615905761719
/home/lsc/serial_bfs/log/con/tsort22209, solver: z3, result: unsat, time:0.13196897506713867
/home/lsc/serial_bfs/log/con/tsort28999, solver: z3, result: unsat, time:0.07664036750793457
/home/lsc/serial_bfs/log/con/tsort28984, solver: z3, result: unsat, time:0.07987356185913086
/home/lsc/serial_bfs/log/con/tsort29943, solver: z3, result: unsat, time:0.10614633560180664
/home/lsc/serial_bfs/log/con/tsort23345, solver: z3, result: unsat, time:0.06701922416687012
/home/lsc/serial_bfs/log/con/tsort29486, solver: z3, result: unsat, time:0.0751650333404541
/home/lsc/serial_bfs/log/con/tsort29005, solver: z3, result: unsat, time:0.07750320434570312
/home/lsc/serial_bfs/log/con/tsort24499, solver: z3, result: unsat, time:0.0679466724395752
/home/lsc/serial_bfs/log/con/tsort28995, solver: z3, result: unsat, time:0.11565947532653809
/home/lsc/serial_bfs/log/con/tsort28985, solver: z3, result: unsat, time:0.07581019401550293
/home/lsc/serial_bfs/log/con/tsort24998, solver: z3, result: unsat, time:0.07351803779602051
/home/lsc/serial_bfs/log/con/tsort29029, solver: z3, result: unsat, time:0.07758283615112305
/home/lsc/serial_bfs/log/con/tsort28993, solver: z3, result: unsat, time:0.08206486701965332
/home/lsc/serial_bfs/log/con/tsort24493, solver: z3, result: unsat, time:0.06677913665771484
/home/lsc/serial_bfs/log/con/md5sum17777, solver: z3, result: unknown, time:300.3230664730072
/home/lsc/serial_bfs/log/con/runcon69699, solver: z3, result: unknown, time:300.0431604385376
/home/lsc/serial_bfs/log/con/runcon77311, solver: z3, result: unsat, time:0.5588653087615967
/home/lsc/serial_bfs/log/con/runcon71257, solver: z3, result: unsat, time:0.3930032253265381
/home/lsc/serial_bfs/log/con/runcon69570, solver: z3, result: unsat, time:0.15401983261108398
/home/lsc/serial_bfs/log/con/runcon71277, solver: z3, result: unsat, time:0.5484476089477539
/home/lsc/serial_bfs/log/con/runcon73838, solver: z3, result: unsat, time:0.46735358238220215
/home/lsc/serial_bfs/log/con/runcon76113, solver: z3, result: unsat, time:0.5899074077606201
/home/lsc/serial_bfs/log/con/runcon74614, solver: z3, result: unsat, time:0.5154974460601807
/home/lsc/serial_bfs/log/con/runcon72609, solver: z3, result: unsat, time:0.2532687187194824
/home/lsc/serial_bfs/log/con/runcon71280, solver: z3, result: unsat, time:0.23593735694885254
/home/lsc/serial_bfs/log/con/runcon76091, solver: z3, result: unsat, time:0.4598209857940674
/home/lsc/serial_bfs/log/con/runcon74627, solver: z3, result: unsat, time:0.5356690883636475
/home/lsc/serial_bfs/log/con/runcon76130, solver: z3, result: unsat, time:0.4619476795196533
/home/lsc/serial_bfs/log/con/runcon71376, solver: z3, result: unsat, time:1.8797569274902344
/home/lsc/serial_bfs/log/con/runcon73732, solver: z3, result: unsat, time:0.546699047088623
/home/lsc/serial_bfs/log/con/runcon72628, solver: z3, result: unsat, time:0.8270695209503174
/home/lsc/serial_bfs/log/con/runcon73772, solver: z3, result: unsat, time:0.6205389499664307
/home/lsc/serial_bfs/log/con/runcon74603, solver: z3, result: unsat, time:0.6620466709136963
/home/lsc/serial_bfs/log/con/runcon72582, solver: z3, result: unsat, time:0.3676948547363281
/home/lsc/serial_bfs/log/con/runcon76124, solver: z3, result: unsat, time:0.5231456756591797
/home/lsc/serial_bfs/log/con/runcon71264, solver: z3, result: unsat, time:0.49166297912597656
/home/lsc/serial_bfs/log/con/runcon74613, solver: z3, result: unsat, time:0.4708077907562256
/home/lsc/serial_bfs/log/con/runcon72595, solver: z3, result: unsat, time:0.4490175247192383
/home/lsc/serial_bfs/log/con/runcon69592, solver: z3, result: unsat, time:0.15718960762023926
/home/lsc/serial_bfs/log/con/runcon76111, solver: z3, result: unsat, time:0.5825197696685791
/home/lsc/serial_bfs/log/con/runcon76100, solver: z3, result: unsat, time:0.2806582450866699
/home/lsc/serial_bfs/log/con/runcon76120, solver: z3, result: unsat, time:0.5253641605377197
/home/lsc/serial_bfs/log/con/nice39663, solver: z3, result: unknown, time:300.0268614292145
/home/lsc/serial_bfs/log/con/runcon73763, solver: z3, result: unsat, time:0.24824810028076172
/home/lsc/serial_bfs/log/con/runcon73747, solver: z3, result: unsat, time:0.25426650047302246
/home/lsc/serial_bfs/log/con/runcon71259, solver: z3, result: unsat, time:0.2563796043395996
/home/lsc/serial_bfs/log/con/runcon76096, solver: z3, result: unsat, time:0.33382487297058105
/home/lsc/serial_bfs/log/con/runcon76303, solver: z3, result: unsat, time:0.3784816265106201
/home/lsc/serial_bfs/log/con/runcon69567, solver: z3, result: unsat, time:0.10004997253417969
/home/lsc/serial_bfs/log/con/runcon77307, solver: z3, result: unsat, time:0.4227907657623291
/home/lsc/serial_bfs/log/con/runcon71272, solver: z3, result: unsat, time:0.19808602333068848
/home/lsc/serial_bfs/log/con/runcon76322, solver: z3, result: unsat, time:0.2996211051940918
/home/lsc/serial_bfs/log/con/runcon76136, solver: z3, result: unsat, time:0.2742879390716553
