/home/lsc/data/log/con/mktemp85848p, solver: z3, result: unsat, time:0.08476448059082031
/home/lsc/data/log/con/mktemp84394p, solver: z3, result: unsat, time:0.06399083137512207
/home/lsc/data/log/con/mktemp74506p, solver: z3, result: unsat, time:0.05222463607788086
/home/lsc/data/log/con/mktemp68666p, solver: z3, result: unsat, time:0.04929971694946289
/home/lsc/data/log/con/mktemp74035p, solver: z3, result: unsat, time:0.07732939720153809
/home/lsc/data/log/con/tr117104p, solver: z3, result: unsat, time:0.4733924865722656
/home/lsc/data/log/con/mktemp81920p, solver: z3, result: unsat, time:0.0612642765045166
/home/lsc/data/log/con/mktemp84696p, solver: z3, result: unsat, time:0.05753493309020996
/home/lsc/data/log/con/tr98457p, solver: z3, result: sat, time:0.1520555019378662
/home/lsc/data/log/con/mktemp80399p, solver: z3, result: unsat, time:0.08888006210327148
/home/lsc/data/log/con/mktemp85846p, solver: z3, result: unsat, time:0.08070969581604004
/home/lsc/data/log/con/mktemp81898p, solver: z3, result: unsat, time:0.08573770523071289
/home/lsc/data/log/con/mktemp86500p, solver: z3, result: unsat, time:0.07785153388977051
/home/lsc/data/log/con/mktemp84268p, solver: z3, result: unsat, time:0.08481955528259277
/home/lsc/data/log/con/tr117099p, solver: z3, result: unsat, time:0.3688821792602539
/home/lsc/data/log/con/mktemp84720p, solver: z3, result: unsat, time:0.09055304527282715
/home/lsc/data/log/con/mktemp85824p, solver: z3, result: unsat, time:0.08412957191467285
/home/lsc/data/log/con/mktemp74068p, solver: z3, result: unsat, time:0.05371904373168945
/home/lsc/data/log/con/mktemp78631p, solver: z3, result: unsat, time:0.08169388771057129
/home/lsc/data/log/con/tr117108p, solver: z3, result: unsat, time:0.3766970634460449
/home/lsc/data/log/con/mktemp86523p, solver: z3, result: unsat, time:0.07653689384460449
/home/lsc/data/log/con/mktemp81715p, solver: z3, result: unsat, time:0.0708920955657959
/home/lsc/data/log/con/mktemp81072p, solver: z3, result: unsat, time:0.049612998962402344
/home/lsc/data/log/con/mktemp81915p, solver: z3, result: unsat, time:0.06055784225463867
/home/lsc/data/log/con/mktemp74512p, solver: z3, result: unsat, time:0.06910467147827148
/home/lsc/data/log/con/mktemp81708p, solver: z3, result: unsat, time:0.05014514923095703
/home/lsc/data/log/con/mktemp74503p, solver: z3, result: unsat, time:0.05359053611755371
/home/lsc/data/log/con/mktemp84382p, solver: z3, result: unsat, time:0.061649322509765625
/home/lsc/data/log/con/mktemp75350p, solver: z3, result: unsat, time:0.07366180419921875
/home/lsc/data/log/con/mktemp80379p, solver: z3, result: unsat, time:0.08271241188049316
/home/lsc/data/log/con/mktemp83254p, solver: z3, result: unsat, time:0.06325936317443848
/home/lsc/data/log/con/mktemp75379p, solver: z3, result: unsat, time:0.07815146446228027
/home/lsc/data/log/con/mktemp68648p, solver: z3, result: unsat, time:0.04692888259887695
/home/lsc/data/log/con/mktemp81722p, solver: z3, result: unsat, time:0.07183623313903809
/home/lsc/data/log/con/mktemp81036p, solver: z3, result: unsat, time:0.05025219917297363
/home/lsc/data/log/con/tr83167p, solver: z3, result: unsat, time:12.672513484954834
/home/lsc/data/log/con/tr121491p, solver: z3, result: sat, time:0.736624002456665
/home/lsc/data/log/con/tr117080p, solver: z3, result: unsat, time:0.3631277084350586
/home/lsc/data/log/con/sha1sum98481p, solver: z3, result: sat, time:20.49655270576477
/home/lsc/data/log/con/sha1sum59308p, solver: z3, result: unsat, time:0.21292495727539062
/home/lsc/data/log/con/sha1sum50278p, solver: z3, result: unsat, time:0.08528780937194824
/home/lsc/data/log/con/tr117096p, solver: z3, result: unsat, time:0.3774139881134033
/home/lsc/data/log/con/tr117097p, solver: z3, result: unsat, time:0.3793807029724121
/home/lsc/data/log/con/sha1sum79417p, solver: z3, result: unsat, time:0.6107664108276367
/home/lsc/data/log/con/sha1sum68228p, solver: z3, result: unsat, time:0.17571759223937988
/home/lsc/data/log/con/tr117090p, solver: z3, result: unsat, time:0.4035611152648926
/home/lsc/data/log/con/sha1sum59110p, solver: z3, result: unsat, time:0.10022497177124023
/home/lsc/data/log/con/tr117092p, solver: z3, result: unsat, time:0.3406505584716797
/home/lsc/data/log/con/sha1sum81439p, solver: z3, result: sat, time:0.5352959632873535
/home/lsc/data/log/con/sha1sum38378p, solver: z3, result: unsat, time:0.0044765472412109375
/home/lsc/data/log/con/sha1sum79936p, solver: z3, result: sat, time:1.9641242027282715
/home/lsc/data/log/con/sha1sum19365p, solver: z3, result: sat, time:0.3682374954223633
/home/lsc/data/log/con/expand405957p, solver: z3, result: unsat, time:26.990564823150635
/home/lsc/data/log/con/sha1sum79418p, solver: z3, result: unsat, time:0.31087589263916016
/home/lsc/data/log/con/expand152478p, solver: z3, result: sat, time:0.20411396026611328
/home/lsc/data/log/con/expand396057p, solver: z3, result: sat, time:3.915081739425659
/home/lsc/data/log/con/sha1sum81307p, solver: z3, result: sat, time:8.482764720916748
/home/lsc/data/log/con/expand110644p, solver: z3, result: sat, time:4.435130596160889
/home/lsc/data/log/con/sha1sum98501p, solver: z3, result: sat, time:16.325114011764526
/home/lsc/data/log/con/tr130653p, solver: z3, result: unsat, time:35.39421081542969
/home/lsc/data/log/con/tr117103p, solver: z3, result: unsat, time:0.3973979949951172
/home/lsc/data/log/con/sha1sum87512p, solver: z3, result: sat, time:11.48536992073059
/home/lsc/data/log/con/sha1sum107050p, solver: z3, result: unsat, time:1.0926129817962646
/home/lsc/data/log/con/sha1sum105561p, solver: z3, result: unsat, time:1.7641189098358154
/home/lsc/data/log/con/sha1sum105495p, solver: z3, result: unsat, time:7.555070638656616
/home/lsc/data/log/con/head47870p, solver: z3, result: sat, time:86.67317914962769
/home/lsc/data/log/con/head313015p, solver: z3, result: unsat, time:0.051605939865112305
/home/lsc/data/log/con/head309289p, solver: z3, result: unsat, time:0.04891467094421387
/home/lsc/data/log/con/head315815p, solver: z3, result: unsat, time:0.09212493896484375
/home/lsc/data/log/con/head309305p, solver: z3, result: unsat, time:0.05147814750671387
/home/lsc/data/log/con/tr127238p, solver: z3, result: sat, time:36.961265087127686
/home/lsc/data/log/con/tr117100p, solver: z3, result: unsat, time:0.38821983337402344
/home/lsc/data/log/con/tr117083p, solver: z3, result: unsat, time:0.5161700248718262
/home/lsc/data/log/con/tr117118p, solver: z3, result: unsat, time:0.4467430114746094
/home/lsc/data/log/con/tr117072p, solver: z3, result: unsat, time:0.3447887897491455
/home/lsc/data/log/con/tr117119p, solver: z3, result: unsat, time:0.559960126876831
/home/lsc/data/log/con/tr117094p, solver: z3, result: unsat, time:0.3895547389984131
/home/lsc/data/log/con/tr117102p, solver: z3, result: unsat, time:0.38058042526245117
/home/lsc/data/log/con/tr117105p, solver: z3, result: unsat, time:0.37279582023620605
/home/lsc/data/log/con/tr117084p, solver: z3, result: unsat, time:0.41034865379333496
/home/lsc/data/log/con/tr117081p, solver: z3, result: unsat, time:0.33208584785461426
/home/lsc/data/log/con/tr117116p, solver: z3, result: unsat, time:0.4894247055053711
/home/lsc/data/log/con/tr118752p, solver: z3, result: unsat, time:38.75847148895264
/home/lsc/data/log/con/tr117079p, solver: z3, result: unsat, time:0.3730010986328125
/home/lsc/data/log/con/tr117121p, solver: z3, result: unsat, time:0.5030558109283447
/home/lsc/data/log/con/tr117110p, solver: z3, result: unsat, time:0.37813544273376465
/home/lsc/data/log/con/tr117111p, solver: z3, result: unsat, time:0.36934971809387207
/home/lsc/data/log/con/tr109126p, solver: z3, result: sat, time:0.49677205085754395
/home/lsc/data/log/con/tr117109p, solver: z3, result: unsat, time:0.4247112274169922
/home/lsc/data/log/con/tr117101p, solver: z3, result: unsat, time:0.3619101047515869
/home/lsc/data/log/con/tr117077p, solver: z3, result: unsat, time:0.21166205406188965
